package_name,total_packages_installed,normal_time,typosquatting_time,difference,overhead,,,
ccount,1,1.4812299,1.4589282,-0.0223017,-0.015056204,,,
formidable,1,1.3603779,1.3049813,-0.0553966,-0.040721479,,,
content-type,1,1.3256686,1.5722469,0.2465783,0.186002972,,,
jest-haste-map,177,10.5889054,10.0242614,-0.564644,-0.053324114,,,
jest-runtime,437,35.5391321,34.2728884,-1.2662437,-0.035629562,,,
last-run,11,4.1844446,4.2294325,0.0449879,0.010751224,,,
mime-types,2,1.3851462,1.3727628,-0.0123834,-0.008940139,,,
escope,16,4.9541759,4.9559329,0.001757,0.00035465,,,
parallel-transform,10,1.6857368,1.8693042,0.1835674,0.108894461,,,
methods,1,1.8544169,1.8034365,-0.0509804,-0.027491337,,,
https-proxy-agent,4,1.7531444,1.5322613,-0.2208831,-0.125992531,,,
ms,1,1.1746938,1.4996007,0.3249069,0.276588588,,,
safer-buffer,1,1.3957725,1.5514947,0.1557222,0.111567035,,,
spdy-transport,17,2.0654188,2.1865861,0.1211673,0.058664761,,,
jest-watcher,285,20.9155236,21.1121736,0.19665,0.009402107,,,
webpack-dev-middleware,19,2.5825159,2.3360916,-0.2464243,-0.095420245,,,
ldjson-stream,9,1.8598368,2.2549296,0.3950928,0.212434123,,,
repeating,1,1.4265224,1.4575027,0.0309803,0.02171736,,,
serve-static,21,2.4703151,2.2396111,-0.230704,-0.093390515,,,
busboy,3,1.6603776,1.688502,0.0281244,0.016938557,,,
postcss-value-parser,1,1.3205331,1.3679006,0.0473675,0.035869983,,,
#NAME?,30,4.216186,4.0438102,-0.1723758,-0.040884297,,,
ultron,1,1.3895567,1.5690838,0.1795271,0.129197391,,,
apollo-link,8,2.1523255,1.9636196,-0.1887059,-0.087675354,,,
babel-helper-replace-supers,27,4.2557115,4.0857142,-0.1699973,-0.039945682,,,
cookie-signature,1,1.2833932,1.384813,0.1014198,0.079024729,,,
lodash,1,1.7576016,1.682377,-0.0752246,-0.042799574,,,
punycode,1,1.4018097,1.447601,0.0457913,0.032665846,,,
long,1,1.3288672,1.39181,0.0629428,0.047365756,,,
#NAME?,4,1.5334301,1.7473532,0.2139231,0.139506261,,,
has-ansi,2,1.4317591,1.4181145,-0.0136446,-0.009529955,,,
redent,4,1.6237056,1.5938101,-0.0298955,-0.018411897,,,
default-require-extensions,2,1.3769748,1.3784477,0.0014729,0.001069664,,,
filesize,1,1.3408546,1.3072123,-0.0336423,-0.025090192,,,
decamelize,1,1.4858788,1.5941233,0.1082445,0.072848808,,,
eslint-module-utils,10,2.0489209,2.1046421,0.0557212,0.027195389,,,
signal-exit,1,1.5873764,1.3834578,-0.2039186,-0.128462663,,,
is-date-object,1,1.2808495,1.3086566,0.0278071,0.021709889,,,
#NAME?,1,1.4462509,1.5547999,0.108549,0.075055442,,,
webpack-merge,2,1.7397079,1.9290175,0.1893096,0.108816888,,,
setprototypeof,1,1.3187885,1.4092837,0.0904952,0.068619949,,,
strip-ansi,2,1.5147117,1.4685339,-0.0461778,-0.030486197,,,
browser-resolve,2,1.3995177,1.6944282,0.2949105,0.210722951,,,
ansi-regex,1,1.3460459,1.4318511,0.0858052,0.063746117,,,
inherits,1,1.6254001,1.4232649,-0.2021352,-0.124360273,,,
once,2,1.5274861,1.5857872,0.0583011,0.038168007,,,
mamacro,1,1.4377063,1.3312311,-0.1064752,-0.074059076,,,
async,1,1.6361136,1.2923126,-0.343801,-0.210132719,,,
cross-spawn,6,1.8545899,1.8014903,-0.0530996,-0.028631451,,,
libxmljs,70,13.7866558,14.0503452,0.2636894,0.019126422,,,
istanbul-lib-coverage,1,1.4999575,1.3471832,-0.1527743,-0.101852419,,,
batch-processor,1,1.6790822,1.4124758,-0.2666064,-0.158781029,,,
core-util-is,1,1.4089804,1.4053028,-0.0036776,-0.002610114,,,
node-releases,2,1.4156425,1.6064815,0.190839,0.13480734,,,
methods,1,1.7475375,1.4259728,-0.3215647,-0.184010186,,,
postcss-selector-parser,4,1.5651863,1.5726201,0.0074338,0.004749467,,,
content-disposition,2,1.5647779,1.4857882,-0.0789897,-0.050479816,,,
async-iterator-all,1,1.2838216,1.4148324,0.1310108,0.102047512,,,
array-differ,1,1.1285359,1.654319,0.5257831,0.465898426,,,
split-string,1,1.3751338,1.3834011,0.0082673,0.006011997,,,
neo-async,1,1.2601036,1.3681973,0.1080937,0.085781598,,,
regexpu-core,10,2.0753323,2.1614478,0.0861155,0.041494801,,,
cyclist,1,1.3239052,1.4812787,0.1573735,0.118870671,,,
babel-register,52,5.5895018,5.5244618,-0.06504,-0.0116361,,,
postcss-normalize-url,14,2.1575655,2.3046074,0.1470419,0.068151766,,,
dir-glob,2,1.4253293,1.5088587,0.0835294,0.05860358,,,
qs,1,1.3042557,1.3939718,0.0897161,0.068787202,,,
#NAME?,1,1.3293056,1.4484868,0.1191812,0.089656735,,,
neo-async,1,1.384253,1.5167981,0.1325451,0.095752077,,,
source-map-url,1,1.3828964,1.5394467,0.1565503,0.113204648,,,
debug,2,1.4415109,1.5280562,0.0865453,0.060037909,,,
iconv-lite,2,1.6490586,1.5267299,-0.1223287,-0.07418093,,,
license-webpack-plugin,7,1.8508774,1.9213184,0.070441,0.038058166,,,
prr,1,1.4131008,1.3002253,-0.1128755,-0.079877883,,,
webpack-merge,2,1.6857896,1.8192361,0.1334465,0.079159641,,,
fill-range,3,1.7450377,1.7730875,0.0280498,0.016074037,,,
is-binary-path,2,1.4385438,1.5985031,0.1599593,0.111195293,,,
workbox-sw,1,1.4792236,1.5594902,0.0802666,0.054262655,,,
stream-combiner,3,1.5768778,1.7620268,0.185149,0.117414932,,,
caseless,1,1.2815074,1.2993782,0.0178708,0.01394514,,,
strip-ansi,2,1.5632451,1.5896814,0.0264363,0.016911168,,,
download,113,7.6626938,7.5764963,-0.0861975,-0.011248981,,,
process-nextick-args,1,1.5058817,1.5529137,0.047032,0.031232201,,,
babel-plugin-transform-es2015-block-scoped-functions,4,2.342334,2.5256982,0.1833642,0.078282687,,,
postcss-svgo,58,7.8901737,7.8022584,-0.0879153,-0.011142378,,,
source-map-support,3,1.4907538,1.6331158,0.142362,0.095496654,,,
cliui,11,2.2357723,2.4711551,0.2353828,0.10528031,,,
gherkin,22,3.3909843,3.4282193,0.037235,0.010980588,,,
eventsource,5,2.1724414,2.2545181,0.0820767,0.037780858,,,
jest-config,447,35.4311789,34.6412867,-0.7898922,-0.022293704,,,
is-path-cwd,1,1.3616989,1.6492685,0.2875696,0.211184426,,,
p-try,1,1.2194984,1.5163531,0.2968547,0.243423608,,,
#NAME?,2,1.4622517,1.687788,0.2255363,0.154239041,,,
wrappy,1,1.4624984,1.547726,0.0852276,0.058275346,,,
#NAME?,1,1.3301291,1.6571367,0.3270076,0.245846512,,,
#NAME?,3,1.7626234,3.1369179,1.3742945,0.779686971,,,
yargs,27,2.7976486,3.2552947,0.4576461,0.16358241,,,
pm2-deploy,4,2.0907131,2.009309,-0.0814041,-0.038936045,,,
camelcase,1,1.4986022,1.351171,-0.1474312,-0.098379143,,,
execa,20,2.5604699,2.6876115,0.1271416,0.049655573,,,
tslib,1,1.2993977,1.340854,0.0414563,0.031904243,,,
setprototypeof,1,1.4690887,1.6060051,0.1369164,0.093198185,,,
is-stream,1,1.3062243,1.4460374,0.1398131,0.107036058,,,
clone,1,1.3562303,1.5020079,0.1457776,0.107487349,,,
#NAME?,1,1.5091277,1.4004503,-0.1086774,-0.072013389,,,
array-union,1,1.3814533,1.5841911,0.2027378,0.146756897,,,
fast-json-stable-stringify,1,1.2822868,1.4617791,0.1794923,0.139978279,,,
#NAME?,28,4.1767207,4.0396981,-0.1370226,-0.032806264,,,
