pyxdh,n/a,n/a,n/a,n/a,pyxdg,n/a,,,,
Yinotify,n/a,inotify,n/a,n/a,n/a,n/a,,,,
zh,n/a,n/a,n/a,n/a,sh,n/a,,,,
sklearn2,n/a,sklearn,n/a,n/a,n/a,sklearn,,,,
marshmallow2,n/a,marshmallow,n/a,n/a,n/a,marshmallow,,,,
ndocker,n/a,docker,n/a,n/a,n/a,n/a,,,,
CouchDB2,n/a,CouchDB,n/a,n/a,n/a,CouchDB,,,,
mysql-client,n/a,mysqlclient,n/a,mysqlclient,mysqlclient,n/a,,,,
cirq,n/a,n/a,n/a,n/a,dirq,n/a,,,,
tle,n/a,n/a,n/a,n/a,tld,n/a,,,,
pefile2,n/a,pefile,n/a,n/a,n/a,pefile,,,,
pvdb,n/a,n/a,n/a,n/a,pudb,n/a,,,,
mltk,n/a,n/a,n/a,n/a,nltk,n/a,,,,
pyexpect,n/a,pexpect,n/a,n/a,n/a,n/a,,,,
ffire,fire,n/a,n/a,n/a,n/a,n/a,,,,
lib-path,n/a,n/a,n/a,pathlib,n/a,n/a,,,,
publicsuffix2,n/a,publicsuffix,n/a,n/a,n/a,publicsuffix,,,,
circlecli,n/a,circleci,n/a,n/a,n/a,n/a,,,,
pushed,n/a,n/a,n/a,n/a,pusher,n/a,,,,
aegs,n/a,n/a,n/a,n/a,args,n/a,,,,
cryptop,n/a,crypto,n/a,n/a,n/a,n/a,,,,
attrd,n/a,n/a,n/a,n/a,attrs,n/a,,,,
xled,n/a,n/a,n/a,n/a,xlrd,n/a,,,,
django-filters,n/a,django-filter,n/a,n/a,n/a,n/a,,,,
oauth2p,n/a,oauth2,n/a,n/a,n/a,n/a,,,,
pyee2,n/a,n/a,n/a,n/a,n/a,pyee,,,,
ropee,rope,n/a,n/a,n/a,n/a,n/a,,,,
urequests,n/a,requests,n/a,n/a,n/a,n/a,,,,
scw,n/a,n/a,n/a,n/a,scs,n/a,,,,
api-client,n/a,apiclient,n/a,apiclient,apiclient,n/a,,,,
expiring-dict,n/a,expiringdict,n/a,expiringdict,expiringdict,n/a,,,,
kinjector,n/a,injector,n/a,n/a,n/a,n/a,,,,
zeroconf3,n/a,zeroconf,n/a,n/a,n/a,zeroconf,,,,
yaro,n/a,n/a,n/a,n/a,yarl,n/a,,,,
oauth2.3,n/a,n/a,n/a,n/a,n/a,oauth2,,,,
pypx,n/a,n/a,n/a,n/a,pypd,n/a,,,,
dokcer,n/a,n/a,docker,n/a,n/a,n/a,,,,
sn,n/a,n/a,n/a,n/a,sh,n/a,,,,
shh,sh,n/a,n/a,n/a,n/a,n/a,,,,
toronado,n/a,tornado,n/a,n/a,n/a,n/a,,,,
gcredstash,n/a,credstash,n/a,n/a,n/a,n/a,,,,
cMarkdown,n/a,Markdown,n/a,n/a,n/a,n/a,,,,
pypc,n/a,n/a,n/a,n/a,pypd,n/a,,,,
Scrapy3,n/a,Scrapy,n/a,n/a,n/a,Scrapy,,,,
mll,n/a,n/a,lml,n/a,mkl,n/a,,,,
ypgame,n/a,n/a,pygame,n/a,n/a,n/a,,,,
easy_dict,n/a,easydict,n/a,easydict,easydict,n/a,,,,
aresponses,n/a,responses,n/a,n/a,n/a,n/a,,,,
mypi,n/a,n/a,n/a,n/a,mypy,n/a,,,,
