package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
pylev3,n/a,n/a,n/a,n/a,n/a,pylev
furi,n/a,n/a,n/a,n/a,furl,n/a
ansibel,n/a,n/a,ansible,n/a,n/a,n/a
dbr,n/a,n/a,n/a,n/a,dbt,n/a
travis-tox,n/a,n/a,n/a,tox-travis,n/a,n/a
sqlparser,n/a,sqlparse,n/a,n/a,n/a,n/a
udocker,n/a,docker,n/a,n/a,n/a,n/a
jss,n/a,n/a,n/a,n/a,mss,n/a
ds,n/a,n/a,n/a,n/a,fs,n/a
pptable,ptable,ptable,n/a,n/a,n/a,n/a
mstatistics,n/a,statistics,n/a,n/a,n/a,n/a
imatplotlib,n/a,matplotlib,n/a,n/a,n/a,n/a
ddlib,dlib,n/a,n/a,n/a,n/a,n/a
scrapyc,n/a,scrapy,n/a,n/a,n/a,n/a
parsy,n/a,n/a,n/a,n/a,patsy,n/a
sco,n/a,n/a,n/a,n/a,scp,n/a
senpy,n/a,n/a,n/a,n/a,zenpy,n/a
pydor,n/a,n/a,n/a,n/a,pydot,n/a
tfp-nightly,n/a,tf-nightly,n/a,n/a,n/a,n/a
interval_tree,n/a,intervaltree,n/a,intervaltree,intervaltree,n/a
aiosmpp,n/a,n/a,n/a,n/a,aioxmpp,n/a
python-ffmpeg,n/a,n/a,n/a,ffmpeg-python,n/a,n/a
syp,n/a,n/a,n/a,n/a,sip,n/a
pyttest,pytest,pytest,n/a,n/a,n/a,n/a
bjson,n/a,n/a,n/a,n/a,hjson,n/a
psqlparse,n/a,sqlparse,n/a,n/a,n/a,n/a
requestes,n/a,requests,n/a,n/a,n/a,n/a
requests-ntlm3,n/a,requests-ntlm,n/a,n/a,n/a,requests-ntlm
scrapyu,n/a,scrapy,n/a,n/a,n/a,n/a
pathod,n/a,n/a,n/a,n/a,pathos,n/a
tsutil,n/a,n/a,n/a,n/a,gsutil,n/a
pymc4,n/a,n/a,n/a,n/a,pymc3,n/a
vjson,n/a,n/a,n/a,n/a,ujson,n/a
gobject,n/a,n/a,n/a,n/a,vobject,n/a
easy_dict,n/a,easydict,n/a,easydict,easydict,n/a
dh,n/a,n/a,n/a,n/a,sh,n/a
gwebsockets,n/a,websockets,n/a,n/a,n/a,n/a
pysmo,n/a,n/a,n/a,n/a,pysmi,n/a
colourz,n/a,colour,n/a,n/a,n/a,n/a
scrapyd,n/a,scrapy,n/a,n/a,n/a,n/a
pygcm,n/a,n/a,n/a,n/a,pyfcm,n/a
pydmb,n/a,n/a,n/a,n/a,pysmb,n/a
xconfig,n/a,config,n/a,n/a,n/a,n/a
py-pandoc,n/a,pypandoc,n/a,pypandoc,pypandoc,n/a
pynt,n/a,n/a,n/a,n/a,pint,n/a
semaver,n/a,semver,n/a,n/a,n/a,n/a
grt,n/a,n/a,n/a,n/a,get,n/a
sio,n/a,n/a,n/a,n/a,sip,n/a
pyood,pyod,n/a,n/a,n/a,n/a,n/a
fconfig,n/a,config,n/a,n/a,n/a,n/a
lprettytable,n/a,prettytable,n/a,n/a,n/a,n/a
fixtures2,n/a,fixtures,n/a,n/a,n/a,fixtures
rfx,n/a,n/a,n/a,n/a,tfx,n/a
kpy,n/a,n/a,n/a,n/a,ipy,n/a
tinyos3,n/a,tinys3,n/a,n/a,n/a,n/a
django-tables3,n/a,n/a,n/a,n/a,django-tables2,n/a
tid,n/a,n/a,n/a,n/a,tld,n/a
sg,n/a,n/a,n/a,n/a,sh,n/a
matiplotlib,n/a,matplotlib,n/a,n/a,n/a,n/a
iso-8601,n/a,iso8601,n/a,iso8601,iso8601,n/a
flask-pytest,n/a,n/a,n/a,pytest-flask,n/a,n/a
rediz,n/a,n/a,n/a,n/a,redis,n/a
pysub,n/a,n/a,pyusb,n/a,pydub,n/a
ecapy,n/a,n/a,n/a,n/a,scapy,n/a
httpcode,n/a,n/a,n/a,n/a,httpcore,n/a
pylfu,n/a,n/a,n/a,n/a,pylru,n/a
h2p,n/a,n/a,n/a,n/a,h2o,n/a
pod,n/a,n/a,n/a,n/a,pox,n/a
awkward1,n/a,awkward,n/a,n/a,n/a,awkward
dtree,n/a,n/a,n/a,n/a,rtree,n/a
xlutils3,n/a,xlutils,n/a,n/a,n/a,xlutils
gal,n/a,n/a,n/a,n/a,gql,n/a
pattern3,n/a,pattern,n/a,n/a,n/a,pattern
virtualenvy,n/a,virtualenv,n/a,n/a,n/a,n/a
xled,n/a,n/a,n/a,n/a,xlrd,n/a
publicsuffix2,n/a,publicsuffix,n/a,n/a,n/a,publicsuffix
secrypt,n/a,scrypt,n/a,n/a,n/a,n/a
pdblp,n/a,n/a,n/a,n/a,pdbpp,n/a
treedlib,n/a,treelib,n/a,n/a,n/a,n/a
moyo,n/a,n/a,n/a,n/a,moto,n/a
ud,n/a,n/a,n/a,n/a,us,n/a
qinvoke,n/a,invoke,n/a,n/a,n/a,n/a
django-jwt,n/a,n/a,n/a,n/a,django-jet,n/a
argparse_config,n/a,n/a,n/a,configargparse,n/a,n/a
pywinrm2,n/a,pywinrm,n/a,n/a,n/a,pywinrm
lib-path,n/a,n/a,n/a,pathlib,n/a,n/a
stmpy,n/a,n/a,n/a,n/a,sympy,n/a
adao,n/a,n/a,n/a,n/a,adal,n/a
ansilbe,n/a,n/a,ansible,n/a,n/a,n/a
dpytest,n/a,pytest,n/a,n/a,n/a,n/a
spandas,n/a,pandas,n/a,n/a,n/a,n/a
toml.py,n/a,n/a,n/a,pytoml,n/a,n/a
mutagene,n/a,mutagen,n/a,n/a,n/a,n/a
spytest,n/a,pytest,n/a,n/a,n/a,n/a
pwtools,n/a,n/a,wptools,n/a,n/a,n/a
pypc,n/a,n/a,n/a,n/a,pypd,n/a
scrapi,n/a,n/a,n/a,n/a,scrapy,n/a
aes,n/a,n/a,n/a,n/a,aws,n/a
cabric,n/a,n/a,n/a,n/a,fabric,n/a
yatl,n/a,n/a,n/a,n/a,yarl,n/a
hyml,n/a,n/a,n/a,n/a,html,n/a
sf,n/a,n/a,fs,n/a,n/a,n/a
ip-address,n/a,ipaddress,n/a,ipaddress,ipaddress,n/a
poetri,n/a,n/a,n/a,n/a,poetry,n/a
youtube-dlg,n/a,youtube-dl,n/a,n/a,n/a,n/a
ido,n/a,n/a,n/a,n/a,odo,n/a
imgutils,n/a,imutils,n/a,n/a,n/a,n/a
gsat,n/a,n/a,gast,n/a,n/a,n/a
pepbox,n/a,n/a,n/a,n/a,pdpbox,n/a
argy,n/a,n/a,n/a,n/a,argh,n/a
prequest,n/a,request,n/a,n/a,n/a,n/a
patterns,n/a,pattern,n/a,n/a,n/a,n/a
epyc,n/a,n/a,n/a,n/a,rpyc,n/a
django-json-field,n/a,django-jsonfield,n/a,n/a,django-jsonfield,n/a
ssc,n/a,n/a,scs,n/a,n/a,n/a
tle,n/a,n/a,n/a,n/a,tld,n/a
dparser,n/a,dparse,n/a,n/a,n/a,n/a
nise,n/a,n/a,n/a,n/a,nose,n/a
parslepy,n/a,parsley,n/a,n/a,n/a,n/a
gs,n/a,n/a,n/a,n/a,fs,n/a
ncrypt,n/a,n/a,n/a,n/a,bcrypt,n/a
jet-django,n/a,n/a,n/a,django-jet,n/a,n/a
manyconfig,n/a,anyconfig,n/a,n/a,n/a,n/a
colorex,n/a,n/a,n/a,n/a,colored,n/a
instagram_api,n/a,instagramapi,n/a,instagramapi,instagramapi,n/a
clock,n/a,n/a,n/a,n/a,click,n/a
twister,n/a,n/a,n/a,n/a,twisted,n/a
pyxdh,n/a,n/a,n/a,n/a,pyxdg,n/a
ip-db,n/a,n/a,n/a,ipdb,ipdb,n/a
pynliner3,n/a,pynliner,n/a,n/a,n/a,pynliner
typedpy,n/a,typepy,n/a,n/a,n/a,n/a
sds,n/a,n/a,n/a,n/a,scs,n/a
wsgiref,n/a,n/a,n/a,n/a,asgiref,n/a
mtpy,n/a,n/a,n/a,n/a,mypy,n/a
json-flatten,n/a,n/a,n/a,flatten-json,n/a,n/a
flask-core,n/a,n/a,n/a,n/a,flask-cors,n/a
kjson,n/a,n/a,n/a,n/a,ijson,n/a
pyling,n/a,n/a,n/a,n/a,pylint,n/a
flauncher,n/a,launcher,n/a,n/a,n/a,n/a
config2,n/a,config,n/a,n/a,n/a,config
pyoem,n/a,n/a,n/a,n/a,pyowm,n/a
rask,n/a,n/a,n/a,n/a,dask,n/a
tomo,n/a,n/a,n/a,n/a,toml,n/a
f5,n/a,n/a,n/a,n/a,fs,n/a
zeroconf2,n/a,zeroconf,n/a,n/a,n/a,zeroconf
pypwm,n/a,n/a,n/a,n/a,pyowm,n/a
parseli,n/a,parsel,n/a,n/a,n/a,n/a
pyctrie,n/a,pytrie,n/a,n/a,n/a,n/a
ux,n/a,n/a,n/a,n/a,us,n/a
dbg,n/a,n/a,n/a,n/a,dbt,n/a
django-bootstrap3-form,n/a,django-bootstrap-form,n/a,n/a,n/a,n/a
attrd,n/a,n/a,n/a,n/a,attrs,n/a
upandas,n/a,pandas,n/a,n/a,n/a,n/a
pyuda,n/a,n/a,n/a,n/a,pyuca,n/a
suds3,n/a,n/a,n/a,n/a,n/a,suds
lprint,n/a,n/a,n/a,n/a,pprint,n/a
deal,n/a,n/a,n/a,n/a,deap,n/a
briantree,n/a,n/a,braintree,n/a,n/a,n/a
iq,n/a,n/a,n/a,n/a,yq,n/a
argparse2,n/a,argparse,n/a,n/a,n/a,argparse
sphinxcontrib-napoleon2,n/a,sphinxcontrib-napoleon,n/a,n/a,n/a,sphinxcontrib-napoleon
py-web,n/a,n/a,n/a,web-py,n/a,n/a
umsgpack,n/a,msgpack,n/a,n/a,n/a,n/a
pyramids,n/a,pyramid,n/a,n/a,n/a,n/a
css,n/a,n/a,scs,n/a,n/a,n/a
api-client,n/a,apiclient,n/a,apiclient,apiclient,n/a
xqrcode,n/a,qrcode,n/a,n/a,n/a,n/a
climt,n/a,n/a,n/a,n/a,clint,n/a
js,n/a,n/a,n/a,n/a,us,n/a
livy,n/a,n/a,n/a,n/a,kivy,n/a
gpolyline,n/a,polyline,n/a,n/a,n/a,n/a
seleniumx,n/a,selenium,n/a,n/a,n/a,n/a
gevent-websocket2,n/a,gevent-websocket,n/a,n/a,n/a,gevent-websocket
ppx,n/a,n/a,n/a,n/a,pox,n/a
django-sebs,n/a,django-ses,n/a,n/a,n/a,n/a
gcputil,n/a,gputil,n/a,n/a,n/a,n/a
gstatsd,n/a,statsd,n/a,n/a,n/a,n/a
namesparser,n/a,nameparser,n/a,n/a,n/a,n/a
breaker,n/a,beaker,n/a,n/a,n/a,n/a
tensorboardY,n/a,tensorboard,n/a,n/a,n/a,n/a
google-trans,n/a,googletrans,n/a,googletrans,googletrans,n/a
xdv,n/a,n/a,n/a,n/a,xdg,n/a
pooetry,poetry,poetry,n/a,n/a,n/a,n/a
mplotly,n/a,plotly,n/a,n/a,n/a,n/a
rsq,n/a,n/a,n/a,n/a,rsa,n/a
flacon,n/a,n/a,falcon,n/a,n/a,n/a
pyrest,n/a,n/a,n/a,n/a,pytest,n/a
jjson,n/a,n/a,n/a,n/a,ujson,n/a
django-jsonbfield,n/a,django-jsonfield,n/a,n/a,n/a,n/a
pyclj,n/a,n/a,n/a,n/a,pycli,n/a
django-tinymce-4,n/a,n/a,n/a,n/a,n/a,django-tinymce
progress2,n/a,progress,n/a,n/a,n/a,progress
implicits,n/a,implicit,n/a,n/a,n/a,n/a
oath,n/a,n/a,n/a,n/a,path,n/a
smamp,n/a,n/a,smmap,n/a,n/a,n/a
initify,n/a,n/a,n/a,n/a,inotify,n/a
auromat,n/a,n/a,n/a,n/a,automat,n/a
deep_merge,n/a,deepmerge,n/a,deepmerge,deepmerge,n/a
vader-sentiment,n/a,vadersentiment,n/a,vadersentiment,vadersentiment,n/a
jsondir,n/a,n/a,n/a,n/a,jsonsir,n/a
pytest-tornado5,n/a,pytest-tornado,n/a,n/a,n/a,pytest-tornado
mlogger,n/a,logger,n/a,n/a,n/a,n/a
trequests,n/a,requests,n/a,n/a,grequests,n/a
ffmpy3,n/a,n/a,n/a,n/a,n/a,ffmpy
distri,n/a,n/a,n/a,n/a,distro,n/a
graphite,n/a,n/a,n/a,n/a,graphyte,n/a
pyleap,n/a,n/a,n/a,n/a,pyldap,n/a
ttree,n/a,n/a,n/a,n/a,rtree,n/a
ocl,n/a,n/a,n/a,n/a,oci,n/a
gspread2,n/a,gspread,n/a,n/a,n/a,gspread
circlecli,n/a,circleci,n/a,n/a,n/a,n/a
django-jsonfield2,n/a,django-jsonfield,n/a,n/a,n/a,django-jsonfield
pop-tools,n/a,n/a,n/a,n/a,pip-tools,n/a
allabaster,alabaster,alabaster,n/a,n/a,n/a,n/a
bdata,n/a,n/a,n/a,n/a,gdata,n/a
charset,n/a,n/a,n/a,n/a,chardet,n/a
datetimex,n/a,datetime,n/a,n/a,n/a,n/a
clogger,n/a,logger,n/a,n/a,n/a,n/a
dst,n/a,n/a,n/a,n/a,ddt,n/a
hs,n/a,n/a,sh,n/a,n/a,n/a
geoio,n/a,n/a,n/a,n/a,geoip,n/a
clint2,n/a,n/a,n/a,n/a,n/a,clint
apyclient,n/a,n/a,n/a,n/a,apiclient,n/a
djangox,n/a,django,n/a,n/a,n/a,n/a
pup-tools,n/a,n/a,n/a,n/a,pip-tools,n/a
cdg,n/a,n/a,n/a,n/a,xdg,n/a
spc,n/a,n/a,scp,n/a,n/a,n/a
sil,n/a,n/a,n/a,n/a,sip,n/a
constrict,n/a,n/a,n/a,n/a,construct,n/a
envparser,n/a,envparse,n/a,n/a,n/a,n/a
joseph,n/a,n/a,n/a,n/a,josepy,n/a
xlocale,n/a,xlocal,n/a,n/a,n/a,n/a
protobufp,n/a,protobuf,n/a,n/a,n/a,n/a
cci,n/a,n/a,n/a,n/a,ccy,n/a
nitk,n/a,n/a,n/a,n/a,nltk,n/a
dokcer,n/a,n/a,docker,n/a,n/a,n/a
rastreio,n/a,n/a,rasterio,n/a,n/a,n/a
libsaas,n/a,n/a,n/a,n/a,libsass,n/a
dropbox2,n/a,dropbox,n/a,n/a,n/a,dropbox
pwx,n/a,n/a,n/a,n/a,pex,n/a
cdt,n/a,n/a,n/a,n/a,ddt,n/a
click8,n/a,n/a,n/a,n/a,n/a,click
nxarray,n/a,xarray,n/a,n/a,n/a,n/a
pyads,n/a,n/a,n/a,n/a,pyaes,n/a
path3,n/a,n/a,n/a,n/a,n/a,path
cornfig,n/a,config,n/a,n/a,n/a,n/a
pu,n/a,n/a,n/a,n/a,py,n/a
xparse,n/a,n/a,n/a,n/a,dparse,n/a
social-auth-core2,n/a,social-auth-core,n/a,n/a,n/a,social-auth-core
pyFtest,n/a,pytest,n/a,n/a,n/a,n/a
ffire,fire,n/a,n/a,n/a,n/a,n/a
pwm,n/a,n/a,n/a,n/a,pem,n/a
uz,n/a,n/a,n/a,n/a,us,n/a
python3-xlib,n/a,python-xlib,n/a,n/a,n/a,n/a
pygsl,n/a,n/a,n/a,n/a,pygal,n/a
xdjango,n/a,django,n/a,n/a,n/a,n/a
pyid,n/a,n/a,n/a,n/a,pyod,n/a
flask-apiy,n/a,flask-api,n/a,n/a,n/a,n/a
proc,n/a,n/a,n/a,n/a,prov,n/a
mysql-client,n/a,mysqlclient,n/a,mysqlclient,mysqlclient,n/a
pydevf,n/a,n/a,n/a,n/a,pydevd,n/a
flake8-quotes2,n/a,flake8-quotes,n/a,n/a,n/a,flake8-quotes
gputils,n/a,gputil,n/a,n/a,n/a,n/a
pysml,n/a,n/a,n/a,n/a,pyaml,n/a
rea,n/a,n/a,n/a,n/a,rsa,n/a
arq,n/a,n/a,n/a,n/a,ara,n/a
pyppd,pypd,n/a,n/a,n/a,n/a,n/a
pyatool,n/a,patool,n/a,n/a,n/a,n/a
mira,n/a,n/a,n/a,n/a,jira,n/a
beamer,n/a,n/a,n/a,n/a,beaker,n/a
aws-encrytpion-sdk,n/a,n/a,aws-encryption-sdk,n/a,n/a,n/a
logging3,n/a,logging,n/a,n/a,n/a,logging
nose2-timer,n/a,nose-timer,n/a,n/a,n/a,n/a
aws-encrytpion-sdk-cli,n/a,n/a,aws-encryption-sdk-cli,n/a,n/a,n/a
slib,n/a,n/a,n/a,n/a,dlib,n/a
boot,n/a,n/a,boto,n/a,n/a,n/a
hw,n/a,n/a,n/a,n/a,h2,n/a
prospector2,n/a,prospector,n/a,n/a,n/a,prospector
jdatetime,n/a,datetime,n/a,n/a,n/a,n/a
jsonpickler,n/a,jsonpickle,n/a,n/a,n/a,n/a
bigarray,n/a,n/a,n/a,n/a,bitarray,n/a
yfx,n/a,n/a,n/a,n/a,tfx,n/a
aws-encyrption-sdk-cli,n/a,n/a,aws-encryption-sdk-cli,n/a,n/a,n/a
strpipe,n/a,stripe,n/a,n/a,n/a,n/a
mlogging,n/a,logging,n/a,n/a,n/a,n/a
colouredlogs,n/a,coloredlogs,n/a,n/a,n/a,n/a
ojson,n/a,n/a,n/a,n/a,ijson,n/a
python-openid2,n/a,python-openid,n/a,n/a,n/a,python-openid
esa,n/a,n/a,n/a,n/a,rsa,n/a
django-uuidfield-2,n/a,n/a,n/a,n/a,n/a,django-uuidfield
toronado,n/a,tornado,n/a,n/a,n/a,n/a
wdocker,n/a,docker,n/a,n/a,n/a,n/a
oauth2.3,n/a,n/a,n/a,n/a,n/a,oauth2
sem-ver,n/a,semver,n/a,semver,semver,n/a
yalr,n/a,n/a,yarl,n/a,n/a,n/a
bdocutils,n/a,docutils,n/a,n/a,n/a,n/a
attrz,n/a,n/a,n/a,n/a,attrs,n/a
pushed,n/a,n/a,n/a,n/a,pusher,n/a
plumbium,n/a,plumbum,n/a,n/a,n/a,n/a
pull,n/a,n/a,n/a,n/a,pulp,n/a
django-jinja2,n/a,django-jinja,n/a,n/a,n/a,django-jinja
falcone,n/a,falcon,n/a,n/a,n/a,n/a
tod,n/a,n/a,n/a,n/a,tld,n/a
django-fcm,n/a,n/a,n/a,fcm-django,n/a,n/a
occi,oci,n/a,n/a,n/a,n/a,n/a
tfs,n/a,n/a,n/a,n/a,tfx,n/a
ltable,n/a,n/a,n/a,n/a,ptable,n/a
tx,n/a,n/a,n/a,n/a,rx,n/a
cash,n/a,n/a,n/a,n/a,dash,n/a
inidiff,n/a,n/a,n/a,n/a,unidiff,n/a
arts,n/a,n/a,n/a,n/a,args,n/a
pydot3,n/a,n/a,n/a,n/a,pydot2,pydot
halp,n/a,n/a,n/a,n/a,halo,n/a
beakerx,n/a,beaker,n/a,n/a,n/a,n/a
pkg-info,n/a,pkginfo,n/a,pkginfo,pkginfo,n/a
pyosm,n/a,n/a,n/a,n/a,pyowm,n/a
parma,n/a,n/a,param,n/a,n/a,n/a
pysaj,n/a,n/a,n/a,n/a,pysam,n/a
eth-accounts,n/a,eth-account,n/a,n/a,n/a,n/a
python-docx-1,n/a,n/a,n/a,n/a,n/a,python-docx
py3winrm,n/a,pywinrm,n/a,n/a,n/a,n/a
s4cmd,n/a,n/a,n/a,n/a,s3cmd,n/a
config_pkg,n/a,n/a,n/a,pkgconfig,n/a,n/a
docopts,n/a,docopt,n/a,n/a,n/a,n/a
toc,n/a,n/a,n/a,n/a,tox,n/a
requests-oauth2,n/a,requests-oauth,n/a,n/a,n/a,requests-oauth
falconx,n/a,falcon,n/a,n/a,n/a,n/a
django-bootstrap4-form,n/a,django-bootstrap-form,n/a,n/a,n/a,n/a
sand,n/a,n/a,n/a,n/a,wand,n/a
astro-py,n/a,astropy,n/a,astropy,astropy,n/a
json-diff,n/a,jsondiff,n/a,jsondiff,jsondiff,n/a
sup,n/a,n/a,n/a,n/a,sip,n/a
texttables,n/a,texttable,n/a,n/a,n/a,n/a
cask,n/a,n/a,n/a,n/a,dask,n/a
pytable,n/a,ptable,n/a,n/a,n/a,n/a
geo-py,n/a,n/a,n/a,geopy,geopy,n/a
elasticsearch1-dsl,n/a,elasticsearch-dsl,n/a,n/a,n/a,n/a
configparser2,n/a,configparser,n/a,n/a,n/a,configparser
yapt,n/a,n/a,n/a,n/a,yapf,n/a
oml,n/a,n/a,n/a,n/a,lml,n/a
pyik,n/a,n/a,n/a,n/a,phik,n/a
itables,n/a,tables,n/a,n/a,n/a,n/a
xmlutils,n/a,xlutils,n/a,n/a,n/a,n/a
multipledispatch2,n/a,multipledispatch,n/a,n/a,n/a,multipledispatch
pyppeteer2,n/a,pyppeteer,n/a,n/a,n/a,pyppeteer
pylzma,n/a,n/a,n/a,n/a,pylama,n/a
fw,n/a,n/a,n/a,n/a,fs,n/a
pconfig,n/a,config,n/a,n/a,n/a,n/a
bogo,n/a,n/a,n/a,n/a,boto,n/a
humanizer,n/a,humanize,n/a,n/a,n/a,n/a
kivu,n/a,n/a,n/a,n/a,kivy,n/a
rtreelib,n/a,treelib,n/a,n/a,n/a,n/a
python3-utils,n/a,python-utils,n/a,n/a,n/a,n/a
ipandas,n/a,pandas,n/a,n/a,n/a,n/a
sca,n/a,n/a,n/a,n/a,scs,n/a
ppvt,n/a,n/a,n/a,n/a,ppft,n/a
aiopb,n/a,n/a,n/a,n/a,aiopg,n/a
pycot,n/a,n/a,n/a,n/a,pydot,n/a
xlib,n/a,n/a,n/a,n/a,dlib,n/a
rgeocoder,n/a,geocoder,n/a,n/a,n/a,n/a
sxs,n/a,n/a,n/a,n/a,scs,n/a
ippy,ipy,n/a,n/a,n/a,n/a,n/a
dix,n/a,n/a,n/a,n/a,six,n/a
dx,n/a,n/a,n/a,n/a,rx,n/a
eenum,enum,n/a,n/a,n/a,n/a,n/a
pi-env,n/a,n/a,n/a,n/a,pipenv,n/a
iml,n/a,n/a,n/a,n/a,lml,n/a
crontabs,n/a,crontab,n/a,n/a,n/a,n/a
uuid1,n/a,n/a,n/a,n/a,n/a,uuid
us3,n/a,n/a,n/a,n/a,n/a,us
oauth2p,n/a,oauth2,n/a,n/a,n/a,n/a
protlego,n/a,protego,n/a,n/a,n/a,n/a
web_test,n/a,webtest,n/a,webtest,webtest,n/a
pi,n/a,n/a,n/a,n/a,py,n/a
python-ecjson,n/a,python-cjson,n/a,n/a,n/a,n/a
easl,n/a,n/a,n/a,n/a,sasl,n/a
pypgn,n/a,n/a,pypng,n/a,n/a,n/a
deep-diff,n/a,deepdiff,n/a,deepdiff,deepdiff,n/a
uconfig,n/a,config,n/a,n/a,n/a,n/a
aschedule,n/a,schedule,n/a,n/a,n/a,n/a
intervalt,n/a,interval,n/a,n/a,n/a,n/a
svm,n/a,n/a,n/a,n/a,svn,n/a
django-ogp,n/a,n/a,n/a,n/a,django-otp,n/a
wger,n/a,n/a,n/a,n/a,wget,n/a
doo,n/a,n/a,odo,n/a,n/a,n/a
pydp,n/a,n/a,pypd,n/a,n/a,n/a
djangorestframework-camel-case-2,n/a,n/a,n/a,n/a,n/a,djangorestframework-camel-case
functoolz,n/a,n/a,n/a,n/a,functools,n/a
pytimeparser,n/a,pytimeparse,n/a,n/a,n/a,n/a
pandas2,n/a,pandas,n/a,n/a,n/a,pandas
pitest,n/a,n/a,n/a,n/a,pytest,n/a
git-python,n/a,gitpython,n/a,gitpython,gitpython,n/a
pyhdl,n/a,n/a,n/a,n/a,pyhcl,n/a
flake8-pytest,n/a,n/a,n/a,pytest-flake8,n/a,n/a
koto,n/a,n/a,n/a,n/a,moto,n/a
django-sse,n/a,n/a,django-ses,n/a,n/a,n/a
elit,n/a,n/a,n/a,n/a,eli5,n/a
sconfig,n/a,config,n/a,n/a,n/a,n/a
sschema,schema,schema,n/a,n/a,n/a,n/a
csp,n/a,n/a,scp,n/a,n/a,n/a
sux,n/a,n/a,n/a,n/a,six,n/a
mldocs,n/a,n/a,n/a,n/a,mkdocs,n/a
yaro,n/a,n/a,n/a,n/a,yarl,n/a
zen-py,n/a,n/a,n/a,zenpy,zenpy,n/a
mogo,n/a,n/a,n/a,n/a,moto,n/a
astro,n/a,n/a,astor,n/a,n/a,n/a
vtm,n/a,n/a,n/a,n/a,utm,n/a
qrequest,n/a,request,n/a,n/a,n/a,n/a
django-bootstrap-forms,n/a,django-bootstrap-form,n/a,n/a,n/a,n/a
automata,n/a,automat,n/a,n/a,n/a,n/a
pypgen,n/a,n/a,n/a,n/a,pyphen,n/a
pyox,n/a,n/a,n/a,n/a,pyod,n/a
sklearn2,n/a,sklearn,n/a,n/a,n/a,sklearn
polylines,n/a,polyline,n/a,n/a,n/a,n/a
pywmi,n/a,n/a,n/a,n/a,pysmi,n/a
wh,n/a,n/a,n/a,n/a,sh,n/a
gargparse,n/a,argparse,n/a,n/a,n/a,n/a
murmurhash3,n/a,murmurhash,n/a,n/a,n/a,murmurhash
xdt,n/a,n/a,n/a,n/a,ddt,n/a
pystaches,n/a,pystache,n/a,n/a,n/a,n/a
lvs,n/a,n/a,n/a,n/a,ovs,n/a
sra,n/a,n/a,rsa,n/a,ara,n/a
rlib,n/a,n/a,n/a,n/a,dlib,n/a
ts,n/a,n/a,n/a,n/a,fs,n/a
django-recaptcha3,n/a,django-recaptcha,n/a,n/a,n/a,django-recaptcha
utyls,n/a,n/a,n/a,n/a,utils,n/a
asyncrest,n/a,n/a,n/a,n/a,asynctest,n/a
futures3,n/a,futures,n/a,n/a,n/a,futures
m2rr,m2r,n/a,n/a,n/a,n/a,n/a
zcons,n/a,n/a,n/a,n/a,scons,n/a
sentinela,n/a,n/a,n/a,n/a,sentinels,n/a
pygamer,n/a,pygame,n/a,n/a,n/a,n/a
Jconfig,n/a,config,n/a,n/a,n/a,n/a
logging2,n/a,logging,n/a,n/a,n/a,logging
jschema,n/a,schema,n/a,n/a,n/a,n/a
python-openid3,n/a,python-openid,n/a,n/a,n/a,python-openid
pyccm,n/a,n/a,n/a,n/a,pyfcm,n/a
log-color,n/a,n/a,n/a,colorlog,n/a,n/a
fdt,n/a,n/a,n/a,n/a,ddt,n/a
emv,n/a,n/a,n/a,n/a,env,n/a
node,n/a,n/a,n/a,n/a,nose,n/a
pyogame,n/a,pygame,n/a,n/a,n/a,n/a
graphenex,n/a,graphene,n/a,n/a,n/a,n/a
j2s,n/a,n/a,n/a,n/a,jws,n/a
oic,n/a,n/a,oci,n/a,n/a,n/a
golm,n/a,n/a,glom,n/a,n/a,n/a
pitools,n/a,n/a,iptools,n/a,n/a,n/a
arcode,n/a,n/a,n/a,n/a,qrcode,n/a
awe,n/a,n/a,n/a,n/a,aws,n/a
flexx,flex,n/a,n/a,n/a,n/a,n/a
argz,n/a,n/a,n/a,n/a,args,n/a
flowser,n/a,flower,n/a,n/a,n/a,n/a
numexpr3,n/a,numexpr,n/a,n/a,n/a,numexpr
weboob,webob,n/a,n/a,n/a,n/a,n/a
pysolr4,n/a,pysolr,n/a,n/a,n/a,pysolr
fcrypto,n/a,crypto,n/a,n/a,n/a,n/a
otp-py,n/a,n/a,n/a,pyotp,n/a,n/a
pyvct,n/a,n/a,n/a,n/a,pyvcf,n/a
puka,n/a,n/a,n/a,n/a,pika,n/a
oly,n/a,n/a,n/a,n/a,ply,n/a
pulib,n/a,n/a,n/a,n/a,pvlib,n/a
kivy3,n/a,n/a,n/a,n/a,n/a,kivy
yarb,n/a,n/a,n/a,n/a,yarg,n/a
miniparse,n/a,iniparse,n/a,n/a,n/a,n/a
utilx,n/a,n/a,n/a,n/a,utils,n/a
deno,n/a,n/a,n/a,n/a,reno,n/a
jtextfsm,n/a,textfsm,n/a,n/a,n/a,n/a
pyifu,n/a,n/a,n/a,n/a,pyicu,n/a
flask-api-spec,n/a,flask-apispec,n/a,n/a,flask-apispec,n/a
dq,n/a,n/a,n/a,n/a,rq,n/a
visitors,n/a,visitor,n/a,n/a,n/a,n/a
sfs,n/a,n/a,n/a,n/a,scs,n/a
bagel,n/a,n/a,n/a,n/a,babel,n/a
django-ra,n/a,n/a,n/a,n/a,django-rq,n/a
