package_name,repeated_characters,omitted_characters,swapped_characters,swapped_words,common_typos,version_numbers
schemas,n/a,schema,n/a,n/a,n/a,n/a
shhh,sh,n/a,n/a,n/a,n/a,n/a
patchlib,n/a,pathlib,n/a,n/a,n/a,n/a
fasttest,n/a,n/a,n/a,n/a,fasttext,n/a
test-tools,n/a,testtools,n/a,testtools,testtools,n/a
expiring-dict,n/a,expiringdict,n/a,expiringdict,expiringdict,n/a
iselenium,n/a,selenium,n/a,n/a,n/a,n/a
noseenv,n/a,n/a,n/a,n/a,nodeenv,n/a
requests3,n/a,requests,n/a,n/a,n/a,requests
pyfck,n/a,n/a,n/a,n/a,pyfcm,n/a
loggerj,n/a,logger,n/a,n/a,n/a,n/a
uuid0,n/a,n/a,n/a,n/a,n/a,uuid
btk,n/a,n/a,n/a,n/a,vtk,n/a
marshmallow2,n/a,marshmallow,n/a,n/a,n/a,marshmallow
color-log,n/a,colorlog,n/a,colorlog,colorlog,n/a
yconfig,n/a,config,n/a,n/a,n/a,n/a
sy,n/a,n/a,n/a,n/a,sh,n/a
happi,n/a,n/a,n/a,n/a,yappi,n/a
ypy,n/a,n/a,n/a,n/a,ipy,n/a
cmd3,n/a,n/a,n/a,n/a,cmd2,n/a
pyps,n/a,n/a,n/a,n/a,pypd,n/a
blogger,n/a,logger,n/a,n/a,n/a,n/a
xlogging,n/a,logging,n/a,n/a,n/a,n/a
clib,n/a,n/a,n/a,n/a,dlib,n/a
progress_bar,n/a,progressbar,n/a,progressbar,progressbar,n/a
lint,n/a,n/a,n/a,n/a,pint,n/a
svb,n/a,n/a,n/a,n/a,svn,n/a
rsw,n/a,n/a,n/a,n/a,rsa,n/a
fs1,n/a,n/a,n/a,n/a,n/a,fs
ass,n/a,n/a,n/a,n/a,aws,n/a
paasword,n/a,n/a,n/a,n/a,password,n/a
py-crypto,n/a,pycrypto,n/a,pycrypto,pycrypto,n/a
concurrent-log-handler,n/a,n/a,n/a,concurrentloghandler,n/a,n/a
virtualenv2,n/a,virtualenv,n/a,n/a,n/a,virtualenv
ptipython,n/a,ptpython,n/a,n/a,n/a,n/a
hcloud,n/a,n/a,n/a,n/a,gcloud,n/a
ptee,n/a,n/a,n/a,n/a,pyee,n/a
pyssm,n/a,n/a,n/a,n/a,pysam,n/a
rss,n/a,n/a,n/a,n/a,rsa,n/a
dotenv-python,n/a,n/a,n/a,python-dotenv,n/a,n/a
msgpacku,n/a,msgpack,n/a,n/a,n/a,n/a
gloom,glom,n/a,n/a,n/a,n/a,n/a
xprogress,n/a,progress,n/a,n/a,n/a,n/a
gum,n/a,n/a,n/a,n/a,gym,n/a
osutil,n/a,n/a,n/a,n/a,psutil,n/a
dython,n/a,n/a,n/a,n/a,cython,n/a
pyrst,n/a,n/a,pysrt,n/a,n/a,n/a
sn,n/a,n/a,n/a,n/a,sh,n/a
piptools,n/a,iptools,n/a,n/a,n/a,n/a
jenkins2api,n/a,jenkinsapi,n/a,n/a,n/a,n/a
afctl,n/a,n/a,n/a,n/a,sfctl,n/a
aio.http,n/a,aiohttp,n/a,aiohttp,aiohttp,n/a
pysocks5,n/a,pysocks,n/a,n/a,n/a,pysocks
py_aho_corasick,n/a,n/a,n/a,pyahocorasick,n/a,n/a
drequests,n/a,requests,n/a,n/a,n/a,n/a
qtdigest,n/a,tdigest,n/a,n/a,n/a,n/a
pyqrcodec,n/a,pyqrcode,n/a,n/a,n/a,n/a
dj-ango,n/a,django,n/a,django,django,n/a
pylp,n/a,n/a,n/a,n/a,pulp,n/a
prm,n/a,n/a,n/a,n/a,pem,n/a
mll,n/a,n/a,lml,n/a,mkl,n/a
wtpy,n/a,n/a,n/a,n/a,qtpy,n/a
ly,n/a,n/a,n/a,n/a,py,n/a
promised,n/a,promise,n/a,n/a,n/a,n/a
crypyto,n/a,crypto,n/a,n/a,n/a,n/a
mes,n/a,n/a,n/a,n/a,mss,n/a
dfmpy,n/a,n/a,n/a,n/a,ffmpy,n/a
py3,n/a,n/a,n/a,n/a,n/a,py
ocrtools,n/a,ortools,n/a,n/a,n/a,n/a
slackers,n/a,slacker,n/a,n/a,n/a,n/a
django-ses3,n/a,django-ses,n/a,n/a,n/a,django-ses
ipt,n/a,n/a,n/a,n/a,ipy,n/a
gtwisted,n/a,twisted,n/a,n/a,n/a,n/a
sox,n/a,n/a,n/a,n/a,six,n/a
cine,n/a,n/a,n/a,n/a,vine,n/a
jwt.py,n/a,n/a,n/a,pyjwt,n/a,n/a
jsons,n/a,n/a,n/a,n/a,json5,n/a
like,n/a,n/a,n/a,n/a,lime,n/a
testtools1,n/a,testtools,n/a,n/a,n/a,testtools
sputil,n/a,n/a,psutil,n/a,n/a,n/a
econfig,n/a,config,n/a,n/a,n/a,n/a
pigame,n/a,n/a,n/a,n/a,pygame,n/a
s1acker,n/a,n/a,n/a,n/a,slacker,n/a
parsely,n/a,parsel,parsley,n/a,n/a,n/a
python-tldap,n/a,python-ldap,n/a,n/a,n/a,n/a
scw,n/a,n/a,n/a,n/a,scs,n/a
pidantic,n/a,n/a,n/a,n/a,pydantic,n/a
mdparse,n/a,dparse,n/a,n/a,n/a,n/a
qroutes,n/a,routes,n/a,n/a,n/a,n/a
dargparse,n/a,argparse,n/a,n/a,n/a,n/a
pyval,n/a,n/a,n/a,n/a,pygal,n/a
hftools,n/a,n/a,n/a,n/a,hgtools,n/a
aea,n/a,n/a,n/a,n/a,ara,n/a
urlparse2,n/a,n/a,n/a,n/a,urlparse3,n/a
pdo,n/a,n/a,n/a,n/a,odo,n/a
redshift-sqlalchemy,n/a,n/a,n/a,sqlalchemy-redshift,n/a,n/a
tprogress,n/a,progress,n/a,n/a,n/a,n/a
pysqlite3,n/a,pysqlite,n/a,n/a,n/a,pysqlite
blogbook,n/a,logbook,n/a,n/a,n/a,n/a
pdf2images,n/a,pdf2image,n/a,n/a,n/a,n/a
rdt,n/a,n/a,n/a,n/a,ddt,n/a
zh,n/a,n/a,n/a,n/a,sh,n/a
glogger,n/a,logger,n/a,n/a,n/a,n/a
cs,n/a,n/a,n/a,n/a,fs,n/a
django-ninja,n/a,n/a,n/a,n/a,django-jinja,n/a
