package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
#NAME?,1,1.3152926,1.4119003,0.0966077,,,,
is-data-descriptor,2,1.5709062,1.6954325,0.1245263,,,,
safer-buffer,1,1.3761433,1.4936864,0.1175431,,,,
merge-source-map,2,1.538683,1.5771234,0.0384404,,,,
ci-info,1,1.3845621,1.4031875,0.0186254,,,,
get-port,1,1.5687533,1.3891742,-0.1795791,,,,
postcss,10,1.9156523,2.1720874,0.2564351,,,,
pump,4,1.2711621,1.471083,0.1999209,,,,
diff-sequences,1,1.3110561,1.339402,0.0283459,,,,
inherits,1,1.4212213,1.5937869,0.1725656,,,,
jest-matcher-utils,20,2.8081667,2.8052997,-0.002867,,,,
sanctuary-type-identifiers,1,11.1249181,1.2749704,-9.8499477,,,,
minimalistic-crypto-utils,1,1.6606564,1.3356698,-0.3249866,,,,
babel-generator,16,3.4219356,3.5421122,0.1201766,,,,
yargs,27,3.3460333,4.2292892,0.8832559,,,,
shelljs,16,2.2774206,2.2641645,-0.0132561,,,,
react-dom,7,2.4638789,2.1966349,-0.267244,,,,
#NAME?,11,2.0102233,2.2335833,0.22336,,,,
assign-symbols,1,1.47127,1.3505313,-0.1207387,,,,
through,1,1.6281869,1.6267807,-0.0014062,,,,
xhr-mock,8,1.7982275,1.7280351,-0.0701924,,,,
camelcase,1,1.4229405,1.5567657,0.1338252,,,,
strip-ansi,2,1.4449354,1.7082762,0.2633408,,,,
fs-promise,9,1.6636121,1.7353487,0.0717366,,,,
path-to-regexp,1,1.3507896,1.6372196,0.28643,,,,
json5,2,1.6041446,1.4769262,-0.1272184,,,,
extend,1,1.6012953,1.3880184,-0.2132769,,,,
discontinuous-range,1,1.4616488,1.6937314,0.2320826,,,,
protocol-buffers-schema,1,1.2923796,1.3029586,0.010579,,,,
strip-ansi,2,1.4582081,1.6216951,0.163487,,,,
webpack,393,20.3478666,20.5894925,0.2416259,,,,
path-exists,1,1.4064395,1.4546368,0.0481973,,,,
decamelize,1,1.1981801,1.478478,0.2802979,,,,
anymatch,3,1.4932523,1.7188338,0.2255815,,,,
#NAME?,2,1.5005896,1.5219059,0.0213163,,,,
arr-union,1,1.434046,1.4869943,0.0529483,,,,
#NAME?,4,2.0270726,1.9376184,-0.0894542,,,,
errno,2,1.5557009,1.4177619,-0.137939,,,,
glob,11,2.1179274,1.8641719,-0.2537555,,,,
postcss,10,2.0667613,1.9949256,-0.0718357,,,,
dropbox,5,3.0464841,2.9084836,-0.1380005,,,,
assert-plus,1,1.3595518,1.1964795,-0.1630723,,,,
methods,1,1.330266,1.3676181,0.0373521,,,,
#NAME?,1,1.3220228,1.3811926,0.0591698,,,,
postcss-reporter,13,2.5308835,2.6186827,0.0877992,,,,
#NAME?,5,8.4445197,8.1796422,-0.2648775,,,,
process-nextick-args,1,1.4473645,1.424643,-0.0227215,,,,
ejs,1,1.347264,1.5137729,0.1665089,,,,
#NAME?,30,11.5882186,11.9710109,0.3827923,,,,
acorn,1,2.0767154,1.2814623,-0.7952531,,,,
expand-range,10,1.6566628,1.6208008,-0.035862,,,,
glob-watcher,215,9.4477602,8.9972609,-0.4504993,,,,
encodeurl,1,1.4813968,1.3572624,-0.1241344,,,,
object-keys,1,1.4258328,1.4475528,0.02172,,,,
jest-docblock,2,1.3038766,1.7309726,0.427096,,,,
wide-align,5,1.7150449,1.7210072,0.0059623,,,,
request,48,3.8848408,3.5946838,-0.290157,,,,
util.promisify,17,4.1904208,3.465785,-0.7246358,,,,
arrify,1,1.5712114,1.3577323,-0.2134791,,,,
#NAME?,2,1.5772427,1.5904861,0.0132434,,,,
#NAME?,20,3.1393408,3.4172075,0.2778667,,,,
cacache,53,4.3706579,3.677913,-0.6927449,,,,
code-point-at,1,1.4599673,1.295066,-0.1649013,,,,
compare-versions,1,1.3804532,1.5611113,0.1806581,,,,
object-keys,1,1.4519513,1.4914058,0.0394545,,,,
