package_name,total_packages_installed,normal_time,typosquatting_time,difference,,,,
postcss-discard-comments,11,2.288313,2.4528084,0.1644954,,,,
postcss-color-mod-function,16,2.3224202,2.6020095,0.2795893,,,,
create-hmac,9,1.7298565,1.9371626,0.2073061,,,,
babel-helper-optimise-call-expression,8,3.0174797,3.2300977,0.212618,,,,
color-name,1,1.3871823,1.3157832,-0.0713991,,,,
get-func-name,1,1.4063499,1.5490416,0.1426917,,,,
type-check,2,1.366501,1.3881399,0.0216389,,,,
#NAME?,2,1.3195342,1.4516015,0.1320673,,,,
https-proxy-agent,4,1.6719254,1.8389939,0.1670685,,,,
array.prototype.flat,16,3.3696577,3.2649966,-0.1046611,,,,
ajv,6,1.7931239,2.1499861,0.3568622,,,,
inherits,1,1.3151629,1.5603978,0.2452349,,,,
requizzle,2,1.8285208,1.8721901,0.0436693,,,,
merge-stream,1,1.360384,1.3629382,0.0025542,,,,
memory-pager,1,1.279518,1.4188883,0.1393703,,,,
#NAME?,1,1.4534812,1.5415377,0.0880565,,,,
replace-ext,1,1.2211155,1.3980816,0.1769661,,,,
jest-util,18,2.8784062,2.6703238,-0.2080824,,,,
core-util-is,1,1.5204384,1.3426307,-0.1778077,,,,
lru-cache,2,1.937818,1.403411,-0.534407,,,,
parse-filepath,9,2.2676007,1.9499907,-0.31761,,,,
default-compare,2,1.4494699,1.4926729,0.043203,,,,
gtoken,19,3.1234621,2.9687685,-0.1546936,,,,
object.fromentries,16,3.088181,3.2314457,0.1432647,,,,
pako,1,1.5217835,1.3788197,-0.1429638,,,,
faye-websocket,5,1.6542274,1.6071174,-0.04711,,,,
fs-extra,4,1.305616,2.5369114,1.2312954,,,,
webpack,393,19.854376,20.2617617,0.4073857,,,,
#NAME?,19,2.4062105,2.6290915,0.222881,,,,
marked-terminal,19,2.8465395,2.9587871,0.1122476,,,,
base-64,1,1.1746727,1.4875503,0.3128776,,,,
map-visit,3,1.5229786,1.7943671,0.2713885,,,,
get-stream,5,1.7166447,1.8835092,0.1668645,,,,
any-promise,1,1.268815,1.5668328,0.2980178,,,,
buffer-equal-constant-time,1,1.3591463,1.520352,0.1612057,,,,
commander,1,1.2663949,1.4943204,0.2279255,,,,
caller-path,3,1.7086056,2.5740324,0.8654268,,,,
postcss-discard-empty,11,2.3763944,2.3270944,-0.0493,,,,
string-width,5,1.779912,1.6826541,-0.0972579,,,,
to-no-case,1,2.2852292,1.2772229,-1.0080063,,,,
global-tunnel-ng,9,2.1952667,2.3217241,0.1264574,,,,
flatten,1,1.331799,1.3992804,0.0674814,,,,
cliui,11,2.5121358,2.1727542,-0.3393816,,,,
isobject,1,1.4120216,1.4900899,0.0780683,,,,
chownr,1,1.4898879,1.4359574,-0.0539305,,,,
string-width,5,1.8145315,1.5439027,-0.2706288,,,,
is-ci,2,1.3986065,1.7511866,0.3525801,,,,
semver,1,1.2935723,1.3946052,0.1010329,,,,
geojson-equality,20,3.629133,3.7448204,0.1156874,,,,
#NAME?,88,6.1478948,6.8839442,0.7360494,,,,
isobject,1,1.1641943,1.1589538,-0.0052405,,,,
cypress,191,30.1325083,31.0797821,0.9472738,,,,
sax,1,1.2914968,2.9199025,1.6284057,,,,
oauth-sign,1,1.2833587,1.5593887,0.27603,,,,
lodash.clonedeep,1,1.3302585,1.6958052,0.3655467,,,,
tslint-consistent-codestyle,9,2.3260977,2.2138491,-0.1122486,,,,
graceful-fs,1,1.4778391,2.3203128,0.8424737,,,,
supports-color,2,1.4956424,1.6328324,0.13719,,,,
imurmurhash,1,1.2741139,1.462503,0.1883891,,,,
ansi-regex,1,1.5377254,1.394191,-0.1435344,,,,
ansi-align,6,1.6772257,1.6791368,0.0019111,,,,
react-app-polyfill,9,7.8793163,8.0707796,0.1914633,,,,
ignore,1,1.368303,1.5077792,0.1394762,,,,
uuid,1,1.4473567,1.5174986,0.0701419,,,,
ee-first,1,1.4787389,1.4672299,-0.011509,,,,
ember-cli-preprocess-registry,89,7.6216253,7.1944065,-0.4272188,,,,
has-value,5,1.7808988,2.1051705,0.3242717,,,,
web3-eth-personal,80,13.2991979,14.0649366,0.7657387,,,,
mixin-deep,1,1.2873758,1.6869612,0.3995854,,,,
stream-shift,1,1.4871609,2.8056231,1.3184622,,,,
tslib,1,1.3055187,1.4131025,0.1075838,,,,
zwitch,1,1.5081727,1.4157589,-0.0924138,,,,
ordered-ast-traverse,2,1.6373802,1.5485259,-0.0888543,,,,
#NAME?,1,1.3409558,1.5755006,0.2345448,,,,
ansi-escapes,2,1.3678246,1.7325788,0.3647542,,,,
#NAME?,6,4.3625006,4.6328986,0.270398,,,,
path-exists,1,1.3323772,1.4361158,0.1037386,,,,
#NAME?,32,4.1288429,4.3189357,0.1900928,,,,
micromatch,6,1.9494876,1.9430487,-0.0064389,,,,
d3-transition,7,1.7436375,1.7784569,0.0348194,,,,
class-validator,4,1.6788584,1.6690448,-0.0098136,,,,
bail,1,1.3524673,1.3201723,-0.032295,,,,
parseurl,1,1.3527844,1.5879393,0.2351549,,,,
har-schema,1,1.341698,1.3319038,-0.0097942,,,,
socket.io-adapter,1,1.1959507,1.52064,0.3246893,,,,
npm-run-path,2,1.3841191,1.5683018,0.1841827,,,,
type-fest,1,1.4751134,1.3522008,-0.1229126,,,,
chalk,7,1.8225401,2.0431408,0.2206007,,,,
is-extendable,3,1.4886482,1.6979097,0.2092615,,,,
strip-ansi,2,1.4268818,1.5078753,0.0809935,,,,
cliui,11,2.2930903,2.2268148,-0.0662755,,,,
is-glob,2,1.4973001,1.5692387,0.0719386,,,,
pako,1,1.6876543,1.4668895,-0.2207648,,,,
copy-concurrently,28,2.7042159,3.1085735,0.4043576,,,,
shallowequal,1,1.3868741,1.2780192,-0.1088549,,,,
glob-parent,3,1.7465176,1.5449986,-0.201519,,,,
upath,1,1.3606334,1.4918756,0.1312422,,,,
homedir-polyfill,2,1.4957445,1.5569506,0.0612061,,,,
rimraf,12,2.261266,2.1069729,-0.1542931,,,,
type-check,2,1.4745891,1.3833856,-0.0912035,,,,
imurmurhash,1,2.257271,3.3106758,1.0534048,,,,
vue-property-decorator,2,1.0917967,1.1643366,0.0725399,,,,
acorn,1,1.8254648,1.359355,-0.4661098,,,,
urix,1,1.4200965,1.3642792,-0.0558173,,,,
map-obj,1,1.7373709,1.3982168,-0.3391541,,,,
common-tags,1,1.3522997,1.5128738,0.1605741,,,,
external-editor,6,2.1320294,1.8772534,-0.254776,,,,
#NAME?,1,1.5109546,1.75035,0.2393954,,,,
#NAME?,11,2.2732547,2.4353172,0.1620625,,,,
vm-browserify,1,1.5106471,1.3513,-0.1593471,,,,
koalas,1,1.5393693,1.5472275,0.0078582,,,,
joi,5,1.6350299,1.8198354,0.1848055,,,,
getpass,2,1.5200167,1.7572199,0.2372032,,,,
jest-message-util,283,20.3694809,20.2138667,-0.1556142,,,,
postcss-discard-overridden,11,2.6008531,2.197821,-0.4030321,,,,
eslint-plugin-flowtype,2,1.8084285,1.7805376,-0.0278909,,,,
minipass,2,1.6739422,1.4272054,-0.2467368,,,,
spdx-exceptions,1,1.2586793,1.6437288,0.3850495,,,,
find-root,1,1.4838728,1.457634,-0.0262388,,,,
object.getownpropertydescriptors,16,2.9423306,3.0070041,0.0646735,,,,
colors,1,1.5350083,1.3918938,-0.1431145,,,,
istanbul-lib-instrument,40,5.1959707,5.4261487,0.230178,,,,
react-moment-proptypes,2,2.1476006,2.3772927,0.2296921,,,,
glob-parent,3,2.2548429,1.5392655,-0.7155774,,,,
dir-glob,2,1.3563802,1.4858128,0.1294326,,,,
detect-newline,1,1.3749267,1.3295396,-0.0453871,,,,
#NAME?,2,1.6716881,1.7972144,0.1255263,,,,
#NAME?,1,1.5266984,1.6358565,0.1091581,,,,
debug,2,1.7390074,1.4129818,-0.3260256,,,,
csstype,1,1.653034,1.3054887,-0.3475453,,,,
webpack-dev-server,471,28.5530125,26.7985026,-1.7545099,,,,
supports-color,2,1.4749535,1.8867487,0.4117952,,,,
ipaddr.js,1,1.4629731,2.198793,0.7358199,,,,
array-map,1,1.4581861,1.5279861,0.0698,,,,
jest-runtime,437,33.4022048,33.776132,0.3739272,,,,
unique-filename,3,2.1834067,1.6706721,-0.5127346,,,,
js-tokens,1,1.3781799,1.5353682,0.1571883,,,,
dom-converter,2,1.5934299,1.47508,-0.1183499,,,,
util.promisify,17,3.5002522,3.5119213,0.0116691,,,,
eslint-import-resolver-node,5,1.6395763,1.637901,-0.0016753,,,,
jasmine-core,1,1.4277099,1.5338283,0.1061184,,,,
eslint-scope,3,1.6908984,1.4312211,-0.2596773,,,,
react-test-renderer,7,2.1121135,2.187354,0.0752405,,,,
forever-agent,1,1.2855057,1.4505324,0.1650267,,,,
fb,56,5.2210721,5.2969523,0.0758802,,,,
jsesc,1,1.3535789,1.4789155,0.1253366,,,,
header-case,6,1.7849369,1.8334256,0.0484887,,,,
glob,11,1.9980293,1.9100899,-0.0879394,,,,
is-plain-object,2,1.3523111,1.7199741,0.367663,,,,
parallel-transform,10,1.7856746,2.0687981,0.2831235,,,,
json3,1,1.3135515,1.5654952,0.2519437,,,,
optionator,7,1.5447226,1.5745823,0.0298597,,,,
path-exists,1,1.5753123,1.5595346,-0.0157777,,,,
wrappy,1,1.3515402,1.4798794,0.1283392,,,,
inflight,3,1.5218148,1.6205826,0.0987678,,,,
lodash.unescape,1,1.526309,1.3339592,-0.1923498,,,,
#NAME?,114,7.9648202,7.9175407,-0.0472795,,,,
babel-preset-jest,10,2.4102631,2.5760438,0.1657807,,,,
camelcase,1,1.4370798,1.4162992,-0.0207806,,,,
postcss-selector-matches,12,2.454248,2.5357408,0.0814928,,,,
faye-websocket,5,1.5884196,1.8994423,0.3110227,,,,
regjsparser,2,1.5233753,1.7165883,0.193213,,,,
evp_bytestokey,5,1.7270694,2.039639,0.3125696,,,,
#NAME?,2,1.4932863,1.8617693,0.368483,,,,
scriptjs,1,1.409981,1.3728728,-0.0371082,,,,
inquirer,37,6.8472317,6.3592248,-0.4880069,,,,
object-visit,2,1.3889167,1.4576986,0.0687819,,,,
isstream,1,1.2689548,1.3169094,0.0479546,,,,
is-utf8,1,1.4455697,1.4322988,-0.0132709,,,,
jest-matcher-utils,20,3.0084902,2.7741751,-0.2343151,,,,
fb-watchman,3,1.4824765,1.7319245,0.249448,,,,
cyclist,1,1.4635811,1.2772116,-0.1863695,,,,
resolve-url,1,1.4646527,1.7675175,0.3028648,,,,
is-retry-allowed,1,1.5561745,1.3994085,-0.156766,,,,
duplexify,10,2.0222792,2.0255647,0.0032855,,,,
basic-auth,2,1.4880036,1.6414884,0.1534848,,,,
core-js-pure,1,6.8228838,6.8835153,0.0606315,,,,
tslib,1,1.2529922,1.2233852,-0.029607,,,,
validate-npm-package-license,5,1.5748784,1.7655922,0.1907138,,,,
#NAME?,1,1.2054227,1.3044132,0.0989905,,,,
micromatch,6,2.2864257,2.0280148,-0.2584109,,,,
create-error-class,2,1.879582,1.4915792,-0.3880028,,,,
source-map-resolve,6,2.2437074,1.6828549,-0.5608525,,,,
jest-haste-map,177,7.1196227,11.1242724,4.0046497,,,,
globby,23,2.7303393,2.3015146,-0.4288247,,,,
caniuse-api,8,3.131911,4.1599418,1.0280308,,,,
get-value,2,1.4453072,1.5114822,0.066175,,,,
lowercase-keys,1,1.3504746,1.4803645,0.1298899,,,,
collection-visit,4,1.6877164,1.657837,-0.0298794,,,,
assert,25,3.7369862,4.0777981,0.3408119,,,,
infer-owner,1,1.3999117,1.5464666,0.1465549,,,,
#NAME?,36,4.9456796,4.6863095,-0.2593701,,,,
registry-url,6,1.7552571,1.8241132,0.0688561,,,,
lodash,1,1.6566666,1.8313436,0.174677,,,,
fs.realpath,1,1.3482805,1.3837967,0.0355162,,,,
cssnano-util-get-arguments,1,1.5589459,1.2674121,-0.2915338,,,,
pify,1,1.1881196,1.3677588,0.1796392,,,,
mdn-data,1,1.3688079,1.3232548,-0.0455531,,,,
yargs,27,2.7505455,3.1743701,0.4238246,,,,
util.promisify,17,3.145706,3.5400326,0.3943266,,,,
amqplib,15,2.3506201,2.5434372,0.1928171,,,,
semver,1,1.2509783,1.2223654,-0.0286129,,,,
#NAME?,2,1.5776479,1.5917534,0.0141055,,,,
async,1,1.4661697,1.3416425,-0.1245272,,,,
#NAME?,24,4.8130776,4.6743719,-0.1387057,,,,
postcss-discard-empty,11,2.2822747,2.4378377,0.155563,,,,
rgba-regex,1,1.1527253,1.4469734,0.2942481,,,,
import-cwd,3,1.4248293,1.6354585,0.2106292,,,,
kind-of,1,1.3801673,1.6369109,0.2567436,,,,
glob,11,1.8575243,1.7742591,-0.0832652,,,,
#NAME?,2,1.6207451,1.5915864,-0.0291587,,,,
#NAME?,626,54.5085388,53.2832891,-1.2252497,,,,
envinfo,1,1.5496925,1.3098117,-0.2398808,,,,
array-filter,1,1.5116128,1.3802787,-0.1313341,,,,
jsonwebtoken,15,1.7612254,1.8781394,0.116914,,,,
aws-sign2,1,1.5980575,1.6731554,0.0750979,,,,
proto-list,1,1.3006353,1.4316416,0.1310063,,,,
jsbn,1,1.6884896,1.4874211,-0.2010685,,,,
tough-cookie,4,1.5459092,1.5527916,0.0068824,,,,
osenv,3,1.5660538,1.4889816,-0.0770722,,,,
is-binary-path,2,1.3017981,1.4011126,0.0993145,,,,
source-map-support,3,1.6459926,1.5919093,-0.0540833,,,,
posix-character-classes,1,1.4321478,1.4241821,-0.0079657,,,,
buffers,1,1.2742924,2.8958421,1.6215497,,,,
node-releases,2,1.6021661,1.5953115,-0.0068546,,,,
global-modules,6,1.8806476,1.8590839,-0.0215637,,,,
pretty-error,23,2.8131273,2.9743598,0.1612325,,,,
create-ecdh,9,2.1054753,1.7933961,-0.3120792,,,,
has-value,5,1.8379057,1.7201812,-0.1177245,,,,
xxhashjs,2,1.6067993,1.4885256,-0.1182737,,,,
#NAME?,3,1.6968066,1.9116799,0.2148733,,,,
is-alphanumerical,3,1.4906088,1.6603176,0.1697088,,,,
escodegen,12,1.7329917,1.9810515,0.2480598,,,,
moo,1,1.5014436,1.5305242,0.0290806,,,,
log-symbols,8,2.5475273,2.1296833,-0.417844,,,,
safer-buffer,1,1.2965738,1.1333561,-0.1632177,,,,
statuses,1,1.3540593,1.3851246,0.0310653,,,,
#NAME?,7,2.089436,1.8765641,-0.2128719,,,,
#NAME?,28,4.1737299,4.3220674,0.1483375,,,,
yargs-parser,3,1.5178054,1.5694924,0.051687,,,,
escodegen,12,1.7659271,1.9094931,0.143566,,,,
component-emitter,1,3.0973845,3.2387727,0.1413882,,,,
rimraf,12,4.2850747,4.3207454,0.0356707,,,,
har-validator,8,4.2520251,4.4217501,0.169725,,,,
acorn,1,3.1468867,3.3659382,0.2190515,,,,
connect-history-api-fallback,1,3.0547909,3.0890001,0.0342092,,,,
through2,6,3.8007494,3.9926298,0.1918804,,,,
builtin-modules,1,2.8493891,3.1542349,0.3048458,,,,
import-lazy,1,2.8733936,3.1336419,0.2602483,,,,
p-cancelable,1,3.1967255,3.3446931,0.1479676,,,,
asn1.js,5,3.5772498,3.7113249,0.1340751,,,,
finalhandler,10,4.1505805,4.0793371,-0.0712434,,,,
babel-preset-stage-3,40,10.7369728,10.8962631,0.1592903,,,,
is-windows,1,3.0719743,3.4938796,0.4219053,,,,
import-local,10,1.6326075,2.0745905,0.441983,,,,
js-levenshtein,1,1.0309209,1.4083605,0.3774396,,,,
#NAME?,5,1.9470378,1.8099476,-0.1370902,,,,
ansi-escape-sequences,2,1.3879783,1.4691623,0.081184,,,,
hex2dec,1,1.2093484,1.3232525,0.1139041,,,,
metro-resolver,2,1.7174088,1.4804976,-0.2369112,,,,
pm2-axon-rpc,3,1.4996624,1.8303727,0.3307103,,,,
#NAME?,32,5.0311688,4.6839244,-0.3472444,,,,
#NAME?,29,4.3045,4.9315755,0.6270755,,,,
renderkid,22,2.9172414,2.7098446,-0.2073968,,,,
strip-json-comments,1,1.2933936,1.413789,0.1203954,,,,
es-abstract,15,3.509323,2.9419693,-0.5673537,,,,
inherits,1,1.3819623,1.6978037,0.3158414,,,,
minimatch,4,1.8544423,1.8545616,0.0001193,,,,
kind-of,1,1.2538392,1.4918077,0.2379685,,,,
gaze,14,2.6508844,2.7174494,0.066565,,,,
globby,23,3.0675982,3.1882221,0.1206239,,,,
babel-plugin-transform-es2015-unicode-regex,14,3.7429209,3.5899785,-0.1529424,,,,
babel-generator,16,3.6809502,3.520991,-0.1599592,,,,
r2,5,1.6534635,1.8127736,0.1593101,,,,
optionator,7,1.7093207,1.7787472,0.0694265,,,,
abstract-leveldown,4,1.6695532,1.5557694,-0.1137838,,,,
istanbul-lib-instrument,40,6.3775814,5.014164,-1.3634174,,,,
os-tmpdir,1,1.3724626,1.429213,0.0567504,,,,
path-exists,1,1.2741574,1.6783068,0.4041494,,,,
speed-measure-webpack-plugin,8,1.9908577,2.2469139,0.2560562,,,,
aggregate-error,3,1.7730655,1.7160422,-0.0570233,,,,
define-properties,2,1.4639637,1.5042068,0.0402431,,,,
https-proxy-agent,4,1.6926834,1.659442,-0.0332414,,,,
entities,1,1.2712583,1.3581337,0.0868754,,,,
string-width,5,1.7936471,1.8974916,0.1038445,,,,
inherits,1,1.3193796,1.4741777,0.1547981,,,,
vary,1,1.3604944,1.4782296,0.1177352,,,,
is-arrayish,1,1.3838542,1.5523743,0.1685201,,,,
create-ecdh,9,1.6090389,1.801841,0.1928021,,,,
ignore,1,1.288977,1.418162,0.129185,,,,
array-flatten,1,1.5681602,1.3810248,-0.1871354,,,,
ejs,1,1.3710267,1.545615,0.1745883,,,,
babel-register,52,5.6596768,5.8841339,0.2244571,,,,
body-parser,22,2.6655845,2.8805666,0.2149821,,,,
serialize-error,2,1.5787131,1.5504505,-0.0282626,,,,
delayed-stream,1,1.3803343,1.4370978,0.0567635,,,,
fresh,1,1.5797802,1.4873359,-0.0924443,,,,
buffer-alloc-unsafe,1,1.2982628,1.4149946,0.1167318,,,,
inherits,1,1.4728131,1.5225507,0.0497376,,,,
express-graphql,17,3.4795688,3.3135694,-0.1659994,,,,
ansi-styles,4,1.5689638,1.7983873,0.2294235,,,,
osenv,3,1.420172,1.4175687,-0.0026033,,,,
babel-plugin-syntax-object-rest-spread,1,1.3453333,1.4922855,0.1469522,,,,
define-property,6,1.5701059,2.9132354,1.3431295,,,,
cssdb,1,1.5356837,1.3525782,-0.1831055,,,,
#NAME?,1,1.1372759,1.3040693,0.1667934,,,,
osenv,3,1.4401206,1.5923989,0.1522783,,,,
is-data-descriptor,2,1.5318197,1.6888051,0.1569854,,,,
esprima,1,1.3487719,1.5314472,0.1826753,,,,
get-stream,5,1.88918,2.3034846,0.4143046,,,,
bignumber.js,1,1.2555146,1.3232163,0.0677017,,,,
to-object-path,3,1.5012831,1.7249653,0.2236822,,,,
imagemin-optipng,224,15.8512776,15.280717,-0.5705606,,,,
object-inspect,1,1.3962297,1.4384112,0.0421815,,,,
mime,1,1.3649827,1.3645283,-0.0004544,,,,
react-is,1,1.5580749,1.3496978,-0.2083771,,,,
socket.io-adapter,1,1.3721424,1.6909989,0.3188565,,,,
glogg,2,1.4460052,1.4941489,0.0481437,,,,
glob,11,2.2315162,2.2485757,0.0170595,,,,
#NAME?,4,1.9784492,2.0775438,0.0990946,,,,
#NAME?,29,5.2148017,4.3132029,-0.9015988,,,,
pkg-dir,7,1.7684397,2.0749754,0.3065357,,,,
#NAME?,5,1.6374027,1.5758344,-0.0615683,,,,
#NAME?,74,6.0579377,5.7209213,-0.3370164,,,,
type-is,4,1.9027649,1.7586425,-0.1441224,,,,
is-obj,1,1.3255888,1.2555342,-0.0700546,,,,
run-queue,2,1.5857335,1.5532599,-0.0324736,,,,
write-file-atomic,5,1.728895,1.582531,-0.146364,,,,
randomfill,3,1.8207247,1.5336969,-0.2870278,,,,
balanced-match,1,1.6498478,1.2606761,-0.3891717,,,,
#NAME?,16,3.2729245,3.8341863,0.5612618,,,,
ansi-colors,1,1.3636955,1.4362179,0.0725224,,,,
ansi-align,6,2.0278736,1.8109495,-0.2169241,,,,
#NAME?,3,1.431055,1.6326511,0.2015961,,,,
brace-expansion,3,1.4410399,1.3936281,-0.0474118,,,,
eslint-scope,3,2.5232269,1.5170445,-1.0061824,,,,
is-descriptor,1,1.3234813,1.2690152,-0.0544661,,,,
#NAME?,1,1.4616506,1.3679322,-0.0937184,,,,
get-stream,5,1.8934387,1.7661031,-0.1273356,,,,
deep-eql,2,1.6088628,1.606171,-0.0026918,,,,
#NAME?,2,1.5848365,1.3649418,-0.2198947,,,,
finalhandler,10,1.7288948,1.8597251,0.1308303,,,,
socks-proxy-agent,7,1.8958755,2.3599141,0.4640386,,,,
babel-messages,4,2.3724451,2.4904883,0.1180432,,,,
rgba-regex,1,2.1266297,1.4417087,-0.684921,,,,
pbkdf2,10,1.7693359,2.1288935,0.3595576,,,,
extract-text-webpack-plugin,17,3.1650788,2.7375971,-0.4274817,,,,
has-flag,1,1.4382346,1.6613072,0.2230726,,,,
pn,1,1.5099364,1.9389629,0.4290265,,,,
is-descriptor,1,1.2838021,1.504168,0.2203659,,,,
callsite,1,1.5567352,1.3792266,-0.1775086,,,,
chownr,1,1.5444655,1.3298187,-0.2146468,,,,
multicast-dns-service-types,1,1.3259139,1.4435704,0.1176565,,,,
ultron,1,1.3532633,1.4137352,0.0604719,,,,
#NAME?,2,1.5152334,1.383646,-0.1315874,,,,
lcid,2,1.5341928,1.6776923,0.1434995,,,,
strip-final-newline,1,1.5692667,1.5353859,-0.0338808,,,,
#NAME?,7,2.2532929,2.1179597,-0.1353332,,,,
create-hash,8,1.7390937,1.7676015,0.0285078,,,,
param-case,5,1.72966,1.8977147,0.1680547,,,,
component-emitter,1,1.5178377,1.5382922,0.0204545,,,,
lodash.sortby,1,1.2965622,1.364341,0.0677788,,,,
shebang-regex,1,1.4759178,1.5132412,0.0373234,,,,
schema-utils,8,2.1472774,2.0308884,-0.116389,,,,
ts-jest,15,2.5032106,2.1527219,-0.3504887,,,,
fs-write-stream-atomic,12,1.7229024,1.7784815,0.0555791,,,,
spdx-license-ids,1,1.5331242,1.4367566,-0.0963676,,,,
scheduler,4,1.5551237,1.6761895,0.1210658,,,,
ansi-regex,1,1.3081504,1.3458712,0.0377208,,,,
has-value,5,1.6629877,1.6043733,-0.0586144,,,,
url,3,1.6796392,1.6754176,-0.0042216,,,,
react-native-modal-datetime-picker,6,3.5505694,2.0980369,-1.4525325,,,,
flush-write-stream,6,1.8271775,1.9531078,0.1259303,,,,
mime,1,1.272494,1.6340268,0.3615328,,,,
sntp,5,1.4768232,1.4366548,-0.0401684,,,,
#NAME?,3,2.3885575,2.310104,-0.0784535,,,,
minimist-options,3,1.6206912,1.9783595,0.3576683,,,,
postcss-modules-values,12,2.3570309,2.8298971,0.4728662,,,,
randomatic,4,1.5753071,1.4586164,-0.1166907,,,,
find-cache-dir,11,2.216877,2.2298892,0.0130122,,,,
#NAME?,3,1.7137645,1.628148,-0.0856165,,,,
ccount,1,1.4812299,1.4589282,-0.0223017,,,,
formidable,1,1.3603779,1.3049813,-0.0553966,,,,
content-type,1,1.3256686,1.5722469,0.2465783,,,,
jest-haste-map,177,10.5889054,10.0242614,-0.564644,,,,
jest-runtime,437,35.5391321,34.2728884,-1.2662437,,,,
last-run,11,4.1844446,4.2294325,0.0449879,,,,
mime-types,2,1.3851462,1.3727628,-0.0123834,,,,
escope,16,4.9541759,4.9559329,0.001757,,,,
parallel-transform,10,1.6857368,1.8693042,0.1835674,,,,
methods,1,1.8544169,1.8034365,-0.0509804,,,,
https-proxy-agent,4,1.7531444,1.5322613,-0.2208831,,,,
ms,1,1.1746938,1.4996007,0.3249069,,,,
safer-buffer,1,1.3957725,1.5514947,0.1557222,,,,
spdy-transport,17,2.0654188,2.1865861,0.1211673,,,,
jest-watcher,285,20.9155236,21.1121736,0.19665,,,,
webpack-dev-middleware,19,2.5825159,2.3360916,-0.2464243,,,,
ldjson-stream,9,1.8598368,2.2549296,0.3950928,,,,
repeating,1,1.4265224,1.4575027,0.0309803,,,,
serve-static,21,2.4703151,2.2396111,-0.230704,,,,
busboy,3,1.6603776,1.688502,0.0281244,,,,
postcss-value-parser,1,1.3205331,1.3679006,0.0473675,,,,
#NAME?,30,4.216186,4.0438102,-0.1723758,,,,
ultron,1,1.3895567,1.5690838,0.1795271,,,,
apollo-link,8,2.1523255,1.9636196,-0.1887059,,,,
babel-helper-replace-supers,27,4.2557115,4.0857142,-0.1699973,,,,
cookie-signature,1,1.2833932,1.384813,0.1014198,,,,
lodash,1,1.7576016,1.682377,-0.0752246,,,,
punycode,1,1.4018097,1.447601,0.0457913,,,,
long,1,1.3288672,1.39181,0.0629428,,,,
#NAME?,4,1.5334301,1.7473532,0.2139231,,,,
has-ansi,2,1.4317591,1.4181145,-0.0136446,,,,
redent,4,1.6237056,1.5938101,-0.0298955,,,,
default-require-extensions,2,1.3769748,1.3784477,0.0014729,,,,
filesize,1,1.3408546,1.3072123,-0.0336423,,,,
decamelize,1,1.4858788,1.5941233,0.1082445,,,,
eslint-module-utils,10,2.0489209,2.1046421,0.0557212,,,,
signal-exit,1,1.5873764,1.3834578,-0.2039186,,,,
is-date-object,1,1.2808495,1.3086566,0.0278071,,,,
#NAME?,1,1.4462509,1.5547999,0.108549,,,,
webpack-merge,2,1.7397079,1.9290175,0.1893096,,,,
setprototypeof,1,1.3187885,1.4092837,0.0904952,,,,
strip-ansi,2,1.5147117,1.4685339,-0.0461778,,,,
browser-resolve,2,1.3995177,1.6944282,0.2949105,,,,
ansi-regex,1,1.3460459,1.4318511,0.0858052,,,,
inherits,1,1.6254001,1.4232649,-0.2021352,,,,
once,2,1.5274861,1.5857872,0.0583011,,,,
mamacro,1,1.4377063,1.3312311,-0.1064752,,,,
async,1,1.6361136,1.2923126,-0.343801,,,,
cross-spawn,6,1.8545899,1.8014903,-0.0530996,,,,
libxmljs,70,13.7866558,14.0503452,0.2636894,,,,
istanbul-lib-coverage,1,1.4999575,1.3471832,-0.1527743,,,,
batch-processor,1,1.6790822,1.4124758,-0.2666064,,,,
core-util-is,1,1.4089804,1.4053028,-0.0036776,,,,
node-releases,2,1.4156425,1.6064815,0.190839,,,,
methods,1,1.7475375,1.4259728,-0.3215647,,,,
postcss-selector-parser,4,1.5651863,1.5726201,0.0074338,,,,
content-disposition,2,1.5647779,1.4857882,-0.0789897,,,,
async-iterator-all,1,1.2838216,1.4148324,0.1310108,,,,
array-differ,1,1.1285359,1.654319,0.5257831,,,,
split-string,1,1.3751338,1.3834011,0.0082673,,,,
neo-async,1,1.2601036,1.3681973,0.1080937,,,,
regexpu-core,10,2.0753323,2.1614478,0.0861155,,,,
cyclist,1,1.3239052,1.4812787,0.1573735,,,,
babel-register,52,5.5895018,5.5244618,-0.06504,,,,
postcss-normalize-url,14,2.1575655,2.3046074,0.1470419,,,,
dir-glob,2,1.4253293,1.5088587,0.0835294,,,,
qs,1,1.3042557,1.3939718,0.0897161,,,,
#NAME?,1,1.3293056,1.4484868,0.1191812,,,,
neo-async,1,1.384253,1.5167981,0.1325451,,,,
source-map-url,1,1.3828964,1.5394467,0.1565503,,,,
debug,2,1.4415109,1.5280562,0.0865453,,,,
iconv-lite,2,1.6490586,1.5267299,-0.1223287,,,,
license-webpack-plugin,7,1.8508774,1.9213184,0.070441,,,,
prr,1,1.4131008,1.3002253,-0.1128755,,,,
webpack-merge,2,1.6857896,1.8192361,0.1334465,,,,
fill-range,3,1.7450377,1.7730875,0.0280498,,,,
is-binary-path,2,1.4385438,1.5985031,0.1599593,,,,
workbox-sw,1,1.4792236,1.5594902,0.0802666,,,,
stream-combiner,3,1.5768778,1.7620268,0.185149,,,,
caseless,1,1.2815074,1.2993782,0.0178708,,,,
